date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:46	165/165	---M-Z	200	added ('OK')	text/plain	etag:%221ea74a7c65cbcf1:0%22	http://greencom.azurewebsites.net/robots.txt		(from )
13:12:47	4500/4500	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202016%2011:12:45%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/index.html	(from )
13:12:47	1474/1474	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/css/typography.css	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:47	1066/1066	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/css/reset.css	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/css/reset.css	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:47	43042/43042	---M-Z	200	added ('OK')	text/css	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/css/screen.css	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/css/screen.css	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:48	369/369	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/jquery.slideto.min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/jquery.slideto.min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:49	762/762	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/jquery.wiggle.min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/jquery.wiggle.min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:49	4119/4119	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/jquery.ba-bbq.min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/jquery.ba-bbq.min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:50	88050/88050	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/shred.bundle.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/shred.bundle.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:51	15626/15626	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/underscore-min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/underscore-min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:51	20390/20390	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/backbone-min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/backbone-min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:52	48517/48517	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/handlebars-2.0.0.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/handlebars-2.0.0.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:53	7499/7499	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/highlight.7.3.pack.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/highlight.7.3.pack.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:53	92555/92555	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/jquery-1.8.0.min.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/jquery-1.8.0.min.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:54	8665/8665	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/swagger-oauth.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/swagger-oauth.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:54	28156/28156	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/marked.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/marked.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:55	97587/97587	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/lib/swagger-client.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/lib/swagger-client.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:55	109982/109982	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/swagger-ui.js	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/swagger-ui.js	(from http://greencom.azurewebsites.net/api/swagger-ui/)
13:12:57	11304/11304	---M--	200	added ('OK')	application/font-woff2	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.woff2	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.woff2	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:12:58	22008/22008	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.eot	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.eot	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:12:59	72148/72148	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.svg	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.svg	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:00	22008/22008	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.eot?	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regulard41d.eot	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:00	24868/24868	---M--	200	added ('OK')	application/font-woff	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.woff	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.woff	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:02	11480/11480	---M--	200	added ('OK')	application/font-woff2	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.woff2	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.woff2	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:02	22924/22924	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.eot	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.eot	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:03	39072/39072	---M--	200	added ('OK')	application/octet-stream	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.ttf	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-regular.ttf	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:04	22924/22924	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.eot?	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700d41d.eot	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:04	73575/73575	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.svg	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.svg	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
13:13:07	25992/25992	---M--	200	added ('OK')	application/font-woff	date:Wed,%2011%20Nov%202015%2011:58:54%20GMT	http://greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.woff	C:/My%20Web%20Sites/Greencom%20API%20Swagger/greencom.azurewebsites.net/api/swagger-ui/fonts/droid-sans-v6-latin-700.woff	(from http://greencom.azurewebsites.net/api/swagger-ui/css/typography.css)
