date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:39:51	69967/69967	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:02%20GMT	http://greencom.azurewebsites.net/api/metadata	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/metadata.html	(from )
11:39:52	165/165	---M-Z	200	added ('OK')	text/plain	etag:%221ea74a7c65cbcf1:0%22	http://greencom.azurewebsites.net/robots.txt		(from )
11:39:52	13457/13457	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:03%20GMT	http://greencom.azurewebsites.net/api/metadata?xsd=1	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/metadataee67.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:53	23321/23321	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:05%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=AssignableUserInstallations	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata5f5d.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:54	16995/16995	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:06%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=Authenticate	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata92fb.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:55	14748/14748	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:08%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=CameraConsumption	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata8e9e.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:55	16895/16895	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:07%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=CameraDetails	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata6c60.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:56	16080/16080	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:08%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=CameraHistory	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata3ed0.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:56	23227/23227	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:10%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=CameraInstallations	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata1767.html	(from http://greencom.azurewebsites.net/api/metadata)
11:39:57	15554/15554	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20May%202016%2009:39:09%20GMT	http://greencom.azurewebsites.net/api/json/metadata?op=CameraLastPhoto	C:/My%20Web%20Sites/Greencom%20API/greencom.azurewebsites.net/api/json/metadata4f25.html	(from http://greencom.azurewebsites.net/api/metadata)
